Gene,Metabolite,Correlation
Dapma7bEVm000046,71_99878495,-0.528462348
Dapma7bEVm000112,71_99878495,-0.525891899
Dapma7bEVm000195,71_99878495,-0.540778547
Dapma7bEVm000243,71_99878495,-0.576156473
Dapma7bEVm000246,71_99878495,-0.52418898
Dapma7bEVm000250,71_99878495,-0.521236252
Dapma7bEVm000253,71_99878495,-0.540870118
Dapma7bEVm000254,71_99878495,-0.516959525
Dapma7bEVm000320,71_99878495,-0.540933665
Dapma7bEVm000393,71_99878495,-0.509785081
Dapma7bEVm000405,71_99878495,-0.513611006
Dapma7bEVm000432,71_99878495,-0.577250524
Dapma7bEVm000463,71_99878495,-0.526357329
Dapma7bEVm000243,72_02804821,-0.507392529
Dapma7bEVm000432,72_02804821,-0.509613334
Dapma7bEVm000046,72_99554843,-0.521505838
Dapma7bEVm000112,72_99554843,-0.517524731
Dapma7bEVm000195,72_99554843,-0.541213895
Dapma7bEVm000243,72_99554843,-0.570458055
Dapma7bEVm000246,72_99554843,-0.517906995
Dapma7bEVm000250,72_99554843,-0.516004981
Dapma7bEVm000253,72_99554843,-0.536405755
Dapma7bEVm000254,72_99554843,-0.518205822
Dapma7bEVm000320,72_99554843,-0.540353373
Dapma7bEVm000393,72_99554843,-0.520418283
Dapma7bEVm000405,72_99554843,-0.505946868
Dapma7bEVm000432,72_99554843,-0.575388483
Dapma7bEVm000463,72_99554843,-0.516663539
Dapma7bEVm000195,78_5376322,-0.505369468
Dapma7bEVm000243,78_5376322,-0.502155258
Dapma7bEVm000432,78_5376322,-0.515325312
Dapma7bEVm000195,79_03601212,-0.52092597
Dapma7bEVm000243,79_03601212,-0.522313257
Dapma7bEVm000320,79_03601212,-0.50133034
Dapma7bEVm000432,79_03601212,-0.535373664
Dapma7bEVm000243,83_01755585,-0.516036139
Dapma7bEVm000432,83_01755585,-0.519088627
Dapma7bEVm000243,95_01954538,-0.544150792
Dapma7bEVm000250,95_01954538,-0.505403753
Dapma7bEVm000253,95_01954538,-0.518612771
Dapma7bEVm000320,95_01954538,-0.513074168
Dapma7bEVm000405,95_01954538,-0.51510361
Dapma7bEVm000432,95_01954538,-0.546399143
Dapma7bEVm000463,95_01954538,-0.515010804
Dapma7bEVm000112,96_03006329,-0.500371942
Dapma7bEVm000195,96_03006329,-0.516761674
Dapma7bEVm000243,96_03006329,-0.531283433
Dapma7bEVm000253,96_03006329,-0.505065679
Dapma7bEVm000320,96_03006329,-0.505425697
Dapma7bEVm000432,96_03006329,-0.552815627
Dapma7bEVm000046,102_0224628,-0.507445635
Dapma7bEVm000112,102_0224628,-0.501776963
Dapma7bEVm000195,102_0224628,-0.519015776
Dapma7bEVm000243,102_0224628,-0.554844072
Dapma7bEVm000250,102_0224628,-0.516726726
Dapma7bEVm000253,102_0224628,-0.519363603
Dapma7bEVm000254,102_0224628,-0.509670939
Dapma7bEVm000320,102_0224628,-0.528114536
Dapma7bEVm000399,102_0224628,-0.510698597
Dapma7bEVm000405,102_0224628,-0.518783154
Dapma7bEVm000432,102_0224628,-0.562742792
Dapma7bEVm000463,102_0224628,-0.507120184
Dapma7bEVm000046,104_0098431,-0.532738462
Dapma7bEVm000112,104_0098431,-0.528655244
Dapma7bEVm000188,104_0098431,-0.521976935
Dapma7bEVm000195,104_0098431,-0.52106431
Dapma7bEVm000243,104_0098431,-0.577689242
Dapma7bEVm000246,104_0098431,-0.541575083
Dapma7bEVm000250,104_0098431,-0.521478613
Dapma7bEVm000253,104_0098431,-0.551465023
Dapma7bEVm000254,104_0098431,-0.530920091
Dapma7bEVm000320,104_0098431,-0.539463426
Dapma7bEVm000393,104_0098431,-0.519172444
Dapma7bEVm000432,104_0098431,-0.576507018
Dapma7bEVm000463,104_0098431,-0.510914819
Dapma7bEVm000046,107_0080423,-0.507730818
Dapma7bEVm000112,107_0080423,-0.544158239
Dapma7bEVm000201,107_0080423,-0.502042021
Dapma7bEVm000243,107_0080423,-0.578260065
